id,stat,choice1,choice2,credit,laceup_only,tuxedo_only,strapless_bev,bevelled_only,parka_bev,blended_only,cuffs_only,pleated_only,wkday_8_11A,wkday_2_5P,wkday_11_8A,wkday_5_11P,wkday_11_2P,wkend_2_11P,wkend_11_2P,wkend_11_A,sundaybest_flag
164414,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
110425,loyal,T1 Faster,T2 Neutral,2. <10%,1,0,2,2,2,0,0,0,0,2,0,2,1,2,0,0,0
106935,medium,T1 Faster,T2 Slower,1. None,1,0,0,2,0,2,0,2,1,1,2,2,1,1,1,2,0
106659,medium,T1 Faster,T2 Slower,1. None,2,0,1,0,1,2,1,0,2,1,0,1,0,2,1,0,0
101404,loyal,T1 Faster,T2 Faster,1. None,1,0,2,1,1,1,1,0,1,1,1,2,2,2,1,1,0
145336,medium,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
109576,loyal,T1 Faster,T2 Faster,1. None,2,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0
179078,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
173985,medium,T1 Faster,T2 Neutral,1. None,1,1,0,2,2,0,0,0,1,1,0,2,2,1,2,1,0
158369,medium,T1 Faster,T2 Faster,1. None,2,0,2,2,2,0,0,0,0,2,0,2,1,2,2,2,0
117430,short,T1 Faster,T2 Slower,1. None,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
119668,loyal,T1 Faster,T2 Slower,2. <10%,2,1,1,2,0,2,2,2,1,2,2,1,2,2,2,2,0
127067,loyal,N/A - No AOG,N/A - No AOG,1. None,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
146624,loyal,T1 Faster,T2 Neutral,1. None,1,1,0,2,0,2,0,0,1,2,1,2,1,1,2,0,0
132978,loyal,T1 Faster,T2 Slower,1. None,1,1,1,2,1,2,0,1,1,1,2,1,1,1,2,1,0
119173,medium,T1 Faster,T2 Slower,1. None,1,2,0,0,1,0,0,0,1,1,0,1,2,2,2,2,0
176423,medium,T1 Faster,T2 Faster,1. None,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,2,0
121297,long,T1 Faster,T2 Neutral,2. <10%,1,2,2,0,0,0,2,0,0,2,0,1,1,2,2,0,0
137308,medium,T1 Faster,T2 Faster,1. None,2,0,2,0,1,0,0,0,1,2,2,0,1,1,2,1,0
176777,loyal,T1 Faster,T2 Faster,1. None,1,1,1,2,1,0,0,0,1,2,1,2,1,2,2,1,0
135603,medium,T1 Faster,T2 Faster,1. None,1,1,0,0,0,1,0,0,1,1,2,2,0,1,2,2,0
164373,long,T1 Faster,T2 Slower,1. None,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1
182777,medium,T1 Faster,T2 Neutral,1. None,2,0,1,0,2,0,0,0,2,1,0,0,2,0,2,0,0
127896,medium,T1 Faster,T2 Faster,1. None,1,0,1,2,2,0,0,0,2,1,0,2,1,1,2,0,0
159237,loyal,T1 Faster,T2 Slower,2. <10%,2,2,0,1,0,0,0,0,1,2,1,2,2,2,1,1,0
130894,loyal,T1 Faster,T2 Faster,1. None,2,0,1,0,2,0,0,0,2,1,0,1,1,0,1,2,0
182837,loyal,T1 Faster,T2 Neutral,1. None,2,0,0,0,1,0,0,0,2,1,1,1,1,1,2,2,0
150648,medium,T1 Faster,T2 Slower,1. None,1,2,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0
129840,loyal,T1 Neutral,T2 Slower,1. None,0,2,0,1,0,2,0,0,2,2,1,0,0,2,1,0,0
168980,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
121244,medium,T1 Faster,T2 Faster,1. None,2,0,0,2,0,2,0,0,0,0,0,2,1,2,0,2,0
155831,medium,T1 Faster,T2 Neutral,1. None,2,1,2,0,2,2,0,0,1,2,0,0,1,2,2,0,0
186500,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
188527,medium,T1 Faster,T2 Neutral,1. None,2,1,0,0,0,0,0,0,1,0,0,0,1,2,2,2,0
158336,long,T1 Neutral,T2 Slower,1. None,2,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,0
124367,medium,T1 Faster,T2 Faster,1. None,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1
185078,long,T1 Faster,T2 Slower,1. None,2,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0
108633,loyal,T1 Neutral,T2 Slower,1. None,0,1,1,2,2,0,0,2,0,0,0,1,2,2,2,2,0
99828,long,T1 Faster,T2 Faster,1. None,1,0,2,1,2,0,1,0,0,2,1,2,1,2,1,1,0
175562,long,T1 Faster,T2 Neutral,1. None,2,1,2,1,1,0,0,0,1,2,1,2,1,2,1,0,0
120458,long,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
140723,loyal,T1 Faster,T2 Slower,1. None,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0
167847,loyal,T1 Faster,T2 Neutral,1. None,2,0,1,0,0,2,0,0,1,2,0,1,1,2,1,2,0
160847,loyal,T1 Faster,T2 Neutral,2. <10%,1,1,2,1,0,2,0,0,1,1,0,2,1,2,1,1,0
152538,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
121385,loyal,T1 Faster,T2 Neutral,1. None,1,0,2,0,0,2,2,0,0,1,1,0,2,1,2,2,0
148867,medium,T1 Faster,T2 Faster,1. None,1,2,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0
162100,loyal,T1 Faster,T2 Neutral,1. None,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
99216,loyal,T1 Slower,T2 Slower,1. None,1,1,1,2,0,1,2,0,0,2,0,2,1,2,2,0,0
193736,short,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
143955,loyal,T1 Faster,T2 Neutral,1. None,1,0,2,2,0,0,2,0,2,1,0,1,1,1,0,0,0
175278,long,T1 Faster,T2 Slower,2. <10%,0,0,0,2,2,0,0,0,1,2,0,1,2,1,1,1,0
191871,medium,T1 Neutral,T2 Slower,1. None,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
113977,loyal,T1 Faster,T2 Neutral,1. None,1,1,1,2,1,1,0,0,1,1,0,2,1,2,2,0,0
155794,long,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
167151,loyal,T1 Slower,T2 Slower,1. None,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
174315,loyal,T1 Faster,T2 Neutral,1. None,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
101791,medium,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
148882,loyal,T1 Faster,T2 Slower,1. None,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0
132799,loyal,T1 Faster,T2 Faster,1. None,2,0,1,1,2,2,0,0,2,0,2,0,1,0,1,2,0
186918,loyal,T1 Neutral,T2 Slower,2. <10%,1,2,1,2,2,0,0,0,0,2,1,2,1,2,0,0,0
140829,medium,T1 Faster,T2 Slower,1. None,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
153401,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
171812,loyal,T1 Faster,T2 Faster,2. <10%,2,0,1,1,2,0,0,0,2,1,1,2,1,1,2,1,0
156509,medium,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
171967,loyal,T1 Faster,T2 Neutral,1. None,2,1,0,1,1,0,0,1,0,1,1,2,1,1,1,0,0
115244,long,T1 Faster,T2 Slower,1. None,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
188217,medium,T1 Faster,T2 Slower,2. <10%,0,2,0,0,2,0,0,0,1,1,2,1,0,0,0,2,0
180865,long,T1 Faster,T2 Slower,1. None,2,0,0,2,0,0,0,0,1,2,0,2,0,0,2,0,0
123133,long,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
114103,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
190581,long,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
106406,loyal,T1 Faster,T2 Slower,1. None,2,1,2,1,0,0,1,1,1,2,1,1,2,2,2,1,0
165149,loyal,T1 Faster,T2 Faster,1. None,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0
104357,loyal,T1 Neutral,T2 Slower,2. <10%,1,2,2,0,1,1,0,0,1,1,2,0,2,1,2,1,0
138708,long,T1 Faster,T2 Faster,1. None,1,2,0,2,2,0,0,0,2,0,2,2,1,2,2,0,0
132869,loyal,T1 Faster,T2 Faster,2. <10%,1,0,1,1,0,2,2,0,1,2,0,1,1,1,0,0,0
115242,long,T1 Neutral,T2 Slower,2. <10%,1,2,0,2,0,2,0,0,0,2,0,2,1,2,2,0,0
154238,loyal,T1 Faster,T2 Slower,2. <10%,0,0,1,2,2,0,0,0,1,2,0,0,0,2,0,2,0
136798,long,T1 Faster,T2 Neutral,2. <10%,2,2,0,1,0,2,0,0,2,1,1,2,1,2,1,1,0
129730,loyal,T1 Faster,T2 Faster,3. +10%,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1
162670,long,N/A - No AOG,N/A - No AOG,1. None,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
111984,loyal,T1 Faster,T2 Slower,1. None,2,0,1,0,0,0,0,0,1,2,0,0,2,0,2,1,0
146670,loyal,T1 Slower,T2 Slower,2. <10%,2,2,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0
156884,long,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
116978,medium,T1 Faster,T2 Faster,1. None,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0
171262,medium,T1 Faster,T2 Faster,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
193870,medium,T1 Faster,T2 Slower,1. None,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
163759,long,T1 Faster,T2 Slower,1. None,2,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0
193697,loyal,T1 Faster,T2 Slower,1. None,1,0,0,2,1,1,0,0,2,1,0,1,2,1,2,1,0
175267,loyal,T1 Faster,T2 Faster,3. +10%,2,0,2,0,0,2,0,0,0,0,0,2,0,2,0,0,1
130438,medium,T1 Faster,T2 Slower,1. None,0,0,1,0,0,2,0,0,1,0,0,2,1,2,2,2,0
179932,long,T1 Faster,T2 Slower,1. None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
142201,medium,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
139789,medium,T1 Neutral,T2 Slower,1. None,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
125731,loyal,T1 Faster,T2 Neutral,1. None,2,0,2,0,1,1,1,0,1,1,0,2,2,2,2,0,0
181641,medium,T1 Faster,T2 Slower,1. None,2,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0
130219,loyal,T1 Faster,T2 Slower,1. None,1,2,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0
110902,medium,T1 Faster,T2 Faster,1. None,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
129048,long,T1 Faster,T2 Faster,1. None,1,0,0,1,2,0,0,2,1,2,0,1,2,2,0,0,0
191900,loyal,T1 Faster,T2 Faster,2. <10%,1,1,1,2,2,0,2,2,0,1,0,1,2,1,1,0,0
144808,loyal,T1 Faster,T2 Neutral,1. None,2,1,1,0,1,1,2,0,2,1,0,1,2,2,1,0,0
143156,short,T1 Faster,T2 Neutral,1. None,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,1
130025,long,T1 Faster,T2 Faster,1. None,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0
173562,medium,T1 Faster,T2 Faster,1. None,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
167729,long,T1 Faster,T2 Faster,1. None,2,0,1,2,2,0,0,0,2,0,0,0,1,0,2,0,0
142844,loyal,T1 Faster,T2 Neutral,2. <10%,1,0,2,0,0,0,2,0,0,2,0,2,0,2,0,0,0
133162,loyal,T1 Faster,T2 Faster,1. None,2,1,2,0,2,0,0,0,1,0,2,0,1,1,1,2,0
146116,long,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
102993,loyal,T1 Faster,T2 Slower,1. None,1,0,1,2,2,1,2,2,1,2,0,2,2,1,1,0,0
164979,long,T1 Faster,T2 Faster,1. None,2,0,2,2,2,0,0,0,1,1,0,1,2,2,2,2,0
127482,loyal,T1 Faster,T2 Neutral,1. None,2,0,1,2,0,1,0,0,2,2,1,1,2,2,0,1,0
132494,long,T1 Faster,T2 Faster,1. None,1,0,1,1,1,1,0,2,1,1,0,2,2,2,2,2,0
171487,loyal,T1 Faster,T2 Neutral,1. None,1,1,0,2,1,2,0,0,0,1,0,2,2,1,1,1,0
189655,loyal,T1 Slower,T2 Slower,1. None,1,0,1,2,1,2,2,2,2,1,1,1,2,1,2,1,0
139829,medium,T1 Faster,T2 Slower,1. None,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
162590,loyal,T1 Faster,T2 Neutral,2. <10%,2,0,1,0,1,1,0,0,1,1,2,1,1,1,1,2,0
161217,loyal,T1 Faster,T2 Slower,1. None,2,1,1,2,1,2,2,0,2,2,0,1,1,2,1,2,0
191526,loyal,T1 Faster,T2 Neutral,1. None,1,0,2,2,0,1,2,0,2,0,1,1,1,1,2,2,0
136661,long,T1 Faster,T2 Faster,1. None,0,0,0,2,0,2,2,0,2,2,2,1,0,1,0,0,0
127532,loyal,T1 Slower,T2 Slower,1. None,1,2,1,1,1,0,2,2,1,2,0,2,2,2,1,1,0
147582,medium,T1 Faster,T2 Slower,1. None,1,0,0,2,2,0,0,2,1,1,0,2,1,2,0,2,0
105464,loyal,T1 Faster,T2 Neutral,1. None,1,2,2,0,2,0,0,0,1,0,0,0,0,2,2,0,0
107399,loyal,T1 Slower,T2 Slower,1. None,0,2,1,0,1,0,0,0,2,1,2,1,1,0,1,2,0
158191,long,T1 Faster,T2 Slower,1. None,1,1,0,2,0,2,0,0,1,2,2,1,1,2,1,2,0
169444,medium,T1 Faster,T2 Faster,1. None,2,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,0
115344,medium,T1 Faster,T2 Slower,1. None,2,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0
112119,loyal,T1 Faster,T2 Slower,1. None,1,2,1,2,0,1,0,0,2,2,0,2,1,2,2,0,0
173342,medium,T1 Neutral,T2 Slower,3. +10%,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0
105046,long,T1 Faster,T2 Neutral,1. None,2,0,1,1,0,2,0,0,1,2,0,0,1,2,2,2,0
154613,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
142754,short,T1 Faster,T2 Slower,1. None,2,1,2,0,0,0,0,0,1,0,2,1,0,1,2,2,0
184481,loyal,T1 Faster,T2 Faster,1. None,0,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,1
142372,loyal,T1 Faster,T2 Faster,2. <10%,2,0,2,0,0,0,0,0,0,1,0,2,0,2,2,1,0
140042,medium,T1 Faster,T2 Faster,2. <10%,1,0,1,0,0,2,0,0,1,2,0,2,1,2,1,0,0
153897,loyal,T1 Faster,T2 Slower,1. None,2,2,0,2,0,0,0,0,1,2,0,1,2,0,0,2,0
139982,medium,T1 Faster,T2 Neutral,1. None,1,0,2,2,0,0,2,0,2,2,0,0,1,1,2,1,0
123039,loyal,T1 Faster,T2 Slower,1. None,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0
114729,medium,T1 Faster,T2 Neutral,1. None,0,0,0,0,1,2,0,0,1,1,2,1,1,0,0,1,0
192736,long,T1 Faster,T2 Slower,1. None,0,0,1,2,0,2,2,0,0,2,0,2,1,2,0,0,0
194299,long,T1 Faster,T2 Faster,1. None,1,0,2,1,2,0,0,0,2,1,2,1,0,0,1,0,0
163409,long,T1 Faster,T2 Faster,2. <10%,0,2,2,1,0,0,2,0,1,1,1,1,1,1,2,2,0
108323,loyal,T1 Faster,T2 Neutral,2. <10%,1,1,1,2,2,0,1,0,1,1,1,1,1,1,1,2,0
142795,long,T1 Faster,T2 Neutral,1. None,1,1,1,2,0,2,0,0,1,0,2,2,1,2,0,2,0
169090,loyal,T1 Faster,T2 Faster,1. None,1,0,2,2,2,2,0,2,2,1,1,2,1,1,2,2,0
126752,short,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
142363,long,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
125996,loyal,T1 Faster,T2 Faster,1. None,2,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0
193680,long,T1 Faster,T2 Slower,1. None,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
118734,loyal,T1 Faster,T2 Faster,1. None,1,2,1,2,2,0,0,0,1,2,0,2,1,2,1,1,0
132851,medium,T1 Faster,T2 Slower,1. None,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
183696,medium,T1 Faster,T2 Faster,3. +10%,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0
181260,loyal,T1 Faster,T2 Slower,1. None,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
162703,loyal,T1 Faster,T2 Faster,1. None,2,0,0,0,2,0,0,0,2,1,0,0,1,2,2,1,0
156653,loyal,T1 Faster,T2 Faster,3. +10%,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1
172894,loyal,N/A - No AOG,N/A - No AOG,1. None,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
154850,loyal,T1 Faster,T2 Faster,1. None,1,0,0,2,2,2,0,0,1,2,0,1,1,2,0,0,0
180950,loyal,T1 Neutral,T2 Slower,1. None,2,1,1,2,1,2,1,0,1,2,1,2,2,2,1,1,0
102744,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
158037,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1
164699,loyal,T1 Neutral,T2 Slower,1. None,1,2,2,0,2,0,1,1,2,1,0,1,1,1,1,1,0
104441,loyal,T1 Faster,T2 Neutral,1. None,1,1,2,2,0,1,1,0,1,1,2,2,1,1,1,2,0
165524,medium,T1 Neutral,T2 Slower,1. None,2,2,1,0,0,0,0,0,2,1,1,0,1,2,0,1,0
149826,medium,T1 Faster,T2 Faster,1. None,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
183905,loyal,T1 Faster,T2 Slower,2. <10%,1,0,0,2,0,2,0,2,1,0,0,2,2,0,0,0,0
192202,medium,T1 Neutral,T2 Slower,2. <10%,1,2,1,0,1,0,0,0,2,2,1,0,1,1,0,1,0
124599,medium,T1 Faster,T2 Faster,1. None,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
122198,loyal,N/A - No AOG,N/A - No AOG,1. None,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
188909,loyal,T1 Faster,T2 Slower,1. None,2,1,0,2,0,1,0,0,1,2,0,1,0,2,2,1,0
132605,loyal,T1 Neutral,T2 Slower,1. None,1,2,1,1,1,0,0,0,2,1,0,1,2,1,2,1,0
175724,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,1
114280,loyal,T1 Faster,T2 Neutral,1. None,2,0,1,1,0,0,0,0,2,1,0,1,2,2,1,1,0
174680,loyal,T1 Faster,T2 Slower,1. None,2,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0
157776,medium,T1 Faster,T2 Faster,2. <10%,2,0,1,1,2,1,0,2,0,1,2,2,1,2,1,1,0
152264,short,N/A - No AOG,N/A - No AOG,1. None,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1
155076,long,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
99476,medium,T1 Slower,T2 Slower,1. None,0,2,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0
104320,long,T1 Faster,T2 Faster,1. None,2,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0
138384,loyal,T1 Faster,T2 Faster,2. <10%,2,2,0,0,2,0,0,0,1,0,0,0,0,2,2,2,0
171827,long,T1 Faster,T2 Neutral,1. None,1,0,1,2,2,0,0,2,2,1,1,1,0,1,1,1,0
195711,loyal,T1 Faster,T2 Slower,1. None,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0
144353,short,T1 Faster,T2 Neutral,1. None,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1
143738,loyal,T1 Faster,T2 Faster,1. None,2,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0
192487,loyal,T1 Faster,T2 Faster,1. None,1,2,2,0,2,0,2,2,1,2,2,1,1,1,1,2,0
119266,long,T1 Neutral,T2 Slower,1. None,1,2,0,2,1,2,0,0,1,2,0,1,1,1,2,1,0
153949,long,T1 Faster,T2 Neutral,1. None,1,0,2,2,1,2,0,0,1,2,1,1,2,1,2,1,0
159624,loyal,T1 Faster,T2 Faster,1. None,1,0,1,0,0,2,0,0,1,1,0,1,2,1,0,0,0
186105,long,T1 Faster,T2 Neutral,1. None,1,2,2,1,1,2,1,0,2,1,0,1,1,1,2,2,0
188041,long,T1 Faster,T2 Faster,1. None,2,0,1,2,1,2,0,0,1,1,0,2,1,2,2,1,0
120587,loyal,T1 Faster,T2 Slower,1. None,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
108068,long,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
184826,long,T1 Faster,T2 Faster,3. +10%,1,2,2,1,1,2,0,0,2,2,0,2,1,1,1,1,0
167997,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1
125398,loyal,T1 Slower,T2 Slower,1. None,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
142499,medium,T1 Faster,T2 Faster,2. <10%,1,0,2,1,1,0,2,0,1,2,1,2,2,2,2,1,0
118815,long,N/A - No AOG,N/A - No AOG,1. None,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1
131555,loyal,T1 Faster,T2 Faster,1. None,1,1,2,1,2,0,2,1,2,1,1,1,1,1,1,1,0
190738,loyal,T1 Faster,T2 Slower,1. None,1,0,0,2,0,2,0,0,1,2,0,1,2,2,2,1,0
168135,loyal,T1 Faster,T2 Faster,1. None,2,0,1,0,0,1,0,0,2,1,1,1,1,1,1,2,0
190787,medium,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
189599,loyal,T1 Faster,T2 Neutral,1. None,0,1,1,2,0,2,0,0,1,2,2,1,1,2,0,0,0
125591,loyal,N/A - No AOG,N/A - No AOG,1. None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
104179,long,T1 Neutral,T2 Slower,1. None,1,2,1,1,0,1,2,0,2,2,1,1,1,2,1,1,0
171324,medium,T1 Faster,T2 Faster,1. None,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0
102327,loyal,T1 Faster,T2 Neutral,1. None,1,2,1,1,1,0,1,1,1,1,2,0,1,1,1,2,0
183456,loyal,T1 Faster,T2 Neutral,1. None,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1
120501,loyal,T1 Faster,T2 Faster,1. None,1,0,2,1,2,0,0,0,1,0,0,2,2,2,2,1,0
157471,loyal,T1 Faster,T2 Slower,1. None,2,2,1,1,1,1,0,0,1,2,2,1,2,1,1,1,0
